Date,Description,Check#,Category,Currency,Amount,Balance
2022-05-14T07:00:00.000Z,Dreamweaver’s Delights,,,,-947,
2022-05-15T07:00:00.000Z,Belle Époque Boutique,,,,-4342,
2022-05-15T07:00:00.000Z,Mermaid Market,,,,-559,
2022-05-15T07:00:00.000Z,Dreamweaver’s Delights,,,,-1593,
2022-05-16T07:00:00.000Z,Atlantis Artifacts,,,,-364,
2022-05-16T07:00:00.000Z,Cosmic Curiosities,,,,-1753,
2022-05-17T07:00:00.000Z,Pixie Potions,,,,-6006,
2022-05-18T07:00:00.000Z,The Gramophone Emporium,,,,155964,
2022-05-18T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-1336,
2022-05-18T07:00:00.000Z,Dreamweaver’s Delights,,,,-5498,
2022-05-19T07:00:00.000Z,Pandora’s Pantry,,,,-7500,
2022-05-20T07:00:00.000Z,The Crystal Radio Emporium,,,,13697,
2022-05-21T07:00:00.000Z,Atlantis Artifacts,,,,40000,
2022-05-21T07:00:00.000Z,Mermaid Market,,,,-9865,
2022-05-21T07:00:00.000Z,Phoenix Antiques,,,,-12608,
2022-05-21T07:00:00.000Z,The Edison Electric Emporium,,,,-8200,
2022-05-21T07:00:00.000Z,Elven Emporium,,,,-11743,
2022-05-21T07:00:00.000Z,Mythical Merchants,,,,-11743,
2022-05-21T07:00:00.000Z,Steampunk Sundries,,,,11743,
2022-05-21T07:00:00.000Z,Mythical Merchants,,,,-30000,
2022-05-21T07:00:00.000Z,Victrola Phonograph Parlor,,,,-3035,
2022-05-21T07:00:00.000Z,Narnia Novelties,,,,-3033,
2022-05-21T07:00:00.000Z,The Vaudeville Variety Store,,,,-1603,
2022-05-21T07:00:00.000Z,Arcane Alchemy,,,,-999,
2022-05-22T07:00:00.000Z,Atlantis Artifacts,,,,-100,
2022-05-23T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-1416,
2022-05-23T07:00:00.000Z,The Brass Lantern Bookstore,,,,-6400,
2022-05-23T07:00:00.000Z,Atlantis Artifacts,,,,-115,
2022-05-24T07:00:00.000Z,The Cobbler’s Corner,,,,-547,
2022-05-24T07:00:00.000Z,Goblin Gadgets,,,,-22998,
2022-05-26T07:00:00.000Z,Enchanted Emporium,,,,-16652,
2022-05-26T07:00:00.000Z,Pixie Potions,,,,-2588,
2022-05-26T07:00:00.000Z,Cobblestone Apothecary,,,,-47,
2022-05-27T07:00:00.000Z,The Velvet Emporium,,,,-999,
2022-05-28T07:00:00.000Z,Tin-Type Photography Studio,,,,-15052,
2022-05-29T07:00:00.000Z,Fairy Tale Fabrics,,,,-99,
2022-05-29T07:00:00.000Z,Timeless Treasures,,,,-1299,
2022-05-29T07:00:00.000Z,Labyrinth Books,,,,-2761,
2022-05-29T07:00:00.000Z,Sorcerer’s Surplus,,,,-3308,
2022-05-29T07:00:00.000Z,The Penny Candy Shoppe,,,,-50,
2022-05-29T07:00:00.000Z,Stardust Supplies,,,,-60,
2022-05-30T07:00:00.000Z,The Velvet Emporium,,,,-661,
2022-05-30T07:00:00.000Z,Goblin Gadgets,,,,-12,
2022-05-31T07:00:00.000Z,Art Nouveau Gallery,,,,-900,
2022-05-31T07:00:00.000Z,Mystic Market,,,,-930,
2022-05-31T07:00:00.000Z,The Gramophone Emporium,,,,-7000,
2022-05-31T07:00:00.000Z,Arcane Alchemy,,,,-16,
2022-05-31T07:00:00.000Z,Pixie Potions,,,,-17,
2022-06-01T07:00:00.000Z,Mermaid Market,,,,-6498,
2022-06-01T07:00:00.000Z,Gilded Gramophone Records,,,,-117,
2022-06-01T07:00:00.000Z,Antique Gramophone Records,,,,-659,
2022-06-01T07:00:00.000Z,The Velvet Emporium,,,,-1049,
2022-06-01T07:00:00.000Z,The Carousel Toy Shop,,,,-2030,
2022-06-01T07:00:00.000Z,Labyrinth Books,,,,-19,
2022-06-01T07:00:00.000Z,Arcane Alchemy,,,,-12,
2022-06-01T07:00:00.000Z,Silhouette Portrait Studio,,,,-37,
2022-06-02T07:00:00.000Z,Pandora’s Pantry,,,,-100,
2022-06-02T07:00:00.000Z,Cobblestone Apothecary,,,,115557,
2022-06-02T07:00:00.000Z,Cobblestone Apothecary,,,,-1812,
2022-06-02T07:00:00.000Z,Fable Finds,,,,-3623,
2022-06-02T07:00:00.000Z,The Vaudeville Variety Store,,,,-33,
2022-06-02T07:00:00.000Z,Pandora’s Pantry,,,,-65,
2022-06-03T07:00:00.000Z,Vintage Perfumery,,,,-334,
2022-06-03T07:00:00.000Z,Enchanted Emporium,,,,-6111,
2022-06-03T07:00:00.000Z,Steampunk Sundries,,,,-211,
2022-06-03T07:00:00.000Z,Stardust Supplies,,,,-3585,
2022-06-03T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-4,
2022-06-04T07:00:00.000Z,The Vaudeville Variety Store,,,,-820,
